"Y","Enhanced_GVI_quantification","Transaction_including_the_first_floor_versus_not","Housing_age","Transaction_year","Condominium_versus_not","Apartment_versus_not","Studio_versus_not","Detached_House_versus_not","Storefront_versus_not","Commercial_building_versus_not","mrt_d","school_d","park_d"
39199,6.054624,0,25,107,0,0,0,0,0,0,967.4633943,253.4914812,109.3910211
29806,3.120789,0,31,107,0,1,0,0,0,0,387.0869262,373.3068911,241.2806421
42049,15.591533,0,6,107,0,0,0,0,0,0,1594.409763,266.1412472,298.9376869
37807,3.379533,0,27,107,0,0,0,0,0,0,730.9989644,235.0952916,40.74084428
46032,5.038602,0,38,107,0,0,1,0,0,0,270.4959482,213.0525168,291.694542
41851,1.960604,0,6,107,0,0,0,0,0,0,164.442015,584.3582054,218.0670001
32046,4.807557,0,15,107,0,0,1,0,0,0,1943.04753,480.6593339,266.9343984
39050,6.300417,0,25,107,0,0,1,0,0,0,671.0880927,290.6685335,189.675088
37661,4.624777,0,22,107,0,0,1,0,0,0,414.7596171,172.7030993,280.434739
36502,6.475978,0,24,107,0,0,1,0,0,0,141.4384742,620.4753749,156.1422313
45910,11.439276,0,42,107,0,1,0,0,0,0,871.016409,257.4478268,199.0115264
20833,8.092407,0,39,107,0,1,0,0,0,0,2235.812959,206.2440521,228.7791306
44606,19.034628,0,23,107,0,0,0,0,0,0,833.8651345,201.2920811,72.26036385
40351,6.119547,0,23,107,0,0,1,0,0,0,812.3714842,369.279806,69.02371694
27307,2.725051,0,33,107,0,0,0,0,0,0,427.532922,414.596186,77.27991829
28958,7.687826,0,38,107,0,0,0,0,0,0,508.9372923,501.0230247,58.92595865
43351,6.013625,0,32,107,1,0,0,0,0,0,424.9936174,170.3696506,324.6713874
30785,11.826242,0,28,107,1,0,0,0,0,0,897.6310187,303.7813012,160.9082058
43914,8.736402,0,4,107,0,0,0,0,0,0,1985.787615,224.9405453,275.7147938
42034,1.90387,0,23,107,0,0,0,0,0,0,535.1930623,398.7561419,307.2816128
44068,8.809118,0,29,107,0,0,0,0,0,0,224.4028257,278.982723,72.44744621
45934,11.225227,0,25,107,1,0,0,0,0,0,1587.854613,935.9927094,345.4740328
24226,6.26376,1,4,107,0,0,0,1,0,0,2139.229449,90.66397801,154.3042836
35745,7.215491,0,32,107,0,1,0,0,0,0,1393.133209,716.0108951,136.779148
37621,2.156907,0,20,107,0,0,0,0,0,0,432.2404725,261.6303261,420.2799417
34137,2.156907,0,30,107,0,0,0,0,0,0,372.6681167,285.9010206,186.3116856
33613,12.989383,0,39,107,0,0,0,0,0,0,137.5017994,333.2746493,97.32123914
42245,10.793115,0,25,107,0,0,0,0,0,0,518.2884086,387.076723,158.3068243
24906,15.78655,0,29,107,0,0,0,0,0,0,1188.063701,223.6189751,201.0910391
45700,11.302583,0,16,107,0,0,0,0,0,0,163.0969798,561.0651177,277.2887591
27293,6.774152,0,39,107,0,1,0,0,0,0,1130.74297,421.2511464,200.1828967
46498,11.985885,0,12,107,0,0,0,0,0,0,217.9166396,491.6229623,116.1801412
42408,3.243843,0,29,107,0,0,0,0,0,0,391.2718106,333.732808,319.3397331
44828,29.616622,0,2,107,0,0,0,0,0,0,2660.636949,355.6555508,133.4646518
30927,2.236513,1,51,107,0,0,0,1,0,0,467.0719013,192.4619652,286.3672186
19517,13.428333,0,17,107,1,0,0,0,0,0,1685.207142,421.4913756,420.9356574
1814,1.863848,1,42,107,0,0,0,1,0,0,469.6514513,483.4331804,210.483314
38749,9.893113,0,23,107,0,0,1,0,0,0,420.8374352,152.5285093,550.1886104
18519,7.687826,0,38,107,0,0,0,0,0,0,508.9372923,501.0230247,58.92595865
42303,2.106827,0,19,107,0,0,1,0,0,0,654.3552639,362.3030259,223.1502712
39512,25.14756,0,22,107,0,0,0,0,0,0,356.7621363,406.6069999,74.55783198
38335,25.14756,0,22,107,0,0,0,0,0,0,366.2616895,407.752359,78.7312064
31922,1.419847,0,39,107,0,1,0,0,0,0,369.1068954,559.347657,234.4017407
36448,2.155664,1,20,107,0,0,0,0,0,0,1260.084704,383.0878632,111.4054918
38947,10.529167,0,26,107,0,0,0,0,0,0,1099.016451,291.451713,47.31034273
20434,14.856272,0,39,107,0,1,0,0,0,0,1152.39149,155.6762897,190.929261
36277,13.401914,0,24,107,0,0,0,0,0,0,172.083259,147.8517785,94.34616935
32034,6.101492,0,39,107,0,1,0,0,0,0,233.8383034,185.6340085,239.5496062
31423,10.983424,0,26,107,0,0,0,0,0,0,1062.244749,428.5895007,61.46705847
28774,4.90441,0,36,107,0,1,0,0,0,0,159.2961281,157.1940899,105.5583594
31987,5.555339,0,40,107,0,1,0,0,0,0,232.6035634,389.6294847,111.296006
35707,2.102895,0,22,107,0,0,0,0,0,0,345.7300508,561.9314519,274.7268415
42842,11.826242,1,2,107,0,0,0,0,0,0,930.3575122,238.0082691,94.79835763
47786,4.505833,0,26,107,1,0,0,0,0,0,349.8334484,184.8698095,320.147935
17432,9.051559,0,48,107,0,1,0,0,0,0,892.9334463,176.3456156,135.7029697
47034,14.416604,0,37,107,0,0,1,0,0,0,483.2674184,212.2461274,148.5220721
37427,15.78655,0,12,107,0,0,0,0,0,0,1421.380337,459.497121,101.5705805
38518,3.808137,0,30,107,0,1,0,0,0,0,515.5093975,380.420419,436.7507335
48020,10.328351,1,37,107,0,1,0,0,0,0,242.5107448,275.2872021,158.4879922
30467,12.753812,0,36,107,0,1,0,0,0,0,951.531962,431.9041167,65.3328994
29509,3.120789,0,36,107,0,1,0,0,0,0,281.0891838,399.7170651,171.3314323
48104,13.130866,0,11,107,0,0,0,0,0,0,1078.150468,298.3496618,307.8583154
41985,5.647413,0,48,107,0,1,0,0,0,0,1194.669425,559.2475161,261.476067
29034,3.054911,1,41,107,0,1,0,0,0,0,645.0586184,460.7238367,65.95888666
33619,7.658968,0,39,107,0,1,0,0,0,0,685.5574239,385.1906692,556.1705002
36385,5.038602,0,39,107,0,0,0,0,0,0,288.4004223,330.6940732,380.9776887
34982,19.034628,0,23,107,0,0,0,0,0,0,724.3858492,100.3599604,75.52068407
43593,7.457238,0,18,107,0,0,0,0,0,0,101.2682487,539.9433107,263.2092224
23256,6.554978,0,31,107,0,1,0,0,0,0,418.2455971,204.8795289,371.2518902
26161,10.246361,1,50,107,0,0,0,1,0,0,308.83981,80.35757595,101.4903879
47456,7.653814,0,26,107,0,0,1,0,0,0,267.3798672,220.9174036,285.648131
